Model_Name,Training_Time,Inference_Time,MAE,RMSE,R2_Score,CV_Score
Extra Trees Regressor,0.6663329601287842,0.11380290985107422,3.405921320259381,20.45532760928572,0.9903530106628332,0.9610264495954143
Gradient Boosting Regressor,16.80757236480713,0.013885974884033203,2.7116480033503,21.58499358138004,0.9892580588876232,0.9335203841535404
Lasso Regression,0.5756056308746338,0.0032880306243896484,5.072856114006298,23.352896775243646,0.9874263768766325,0.9927455561909211
Linear Regression,0.030329465866088867,0.0024449825286865234,5.137992125478878,23.36978127776941,0.9874081884590431,0.9927381399336781
Ridge Regression,0.015667438507080078,0.003554105758666992,5.138032709615552,23.371171462732935,0.98740669033054,0.992726085079817
Random Forest Regressor,3.6417555809020996,0.06650853157043457,2.6540479385448017,25.090067164681766,0.9854861521062261,0.9507143247784073
Decision Tree Regressor,0.5326011180877686,0.0037937164306640625,5.295124755551977,26.323600829685493,0.9840239462638729,0.8149669321382962
XGBoost Regressor,0.2532827854156494,0.006048679351806641,4.546902346862093,35.550740051103624,0.9708608948213701,0.8628230611928004
LightGBM Regressor,0.30499768257141113,0.012680768966674805,4.916137679505495,35.89304354369116,0.9702970563613986,0.8695595419688992
CatBoost Regressor,0.7696328163146973,0.014598846435546875,7.70348178632578,37.28967892610003,0.9679405396635045,0.8871483195494946
